ie	1962799
ni	1516329
ow	1074274
st	1041593
na	1015401
an	961293
po	894254
ch	842702
cz	838098
rz	786308
ze	785610
ra	729404
ro	716286
wa	713333
ia	704593
za	668705
wi	667648
od	664984
mi	660528
ar	649086
ta	648814
er	641719
pr	633694
on	622152
ki	604431
en	589875
ko	582829
ej	575864
zy	571095
es	539435
os	535207
sz	530672
ał	519223
ac	517409
or	516891
do	506876
yc	497264
ny	494713
ci	490079
je	481515
ne	473926
si	470225
ka	469929
dz	469134
as	467168
em	465209
li	458056
wy	453641
at	451661
eg	451148
sk	448204
aw	442164
to	441776
go	441626
ad	429177
al	427390
in	420627
te	414778
ic	410142
ak	406663
ię	392530
no	380856
ła	375630
zi	373987
wo	372568
am	369290
ed	367566
ty	360452
le	357820
re	353476
zn	350063
is	348104
ok	345216
aj	337564
ym	337443
ów	337047
tr	330694
az	327011
ma	321085
ol	317892
ec	311262
la	308566
ez	300050
op	299621
ew	294721
ap	292188
el	288134
ło	287703
ek	284818
zo	282509
ys	279584
ku	278998
da	273489
io	272720
ob	271634
ws	263436
om	262268
ry	260123
we	254065
ja	248408
mo	247774
ot	241758
oz	241563
dn	239588
pi	237277
ce	235998
ep	233890
yw	233861
oc	230009
oś	227073
ik	217275
yn	214381
pa	213497
cj	213073
kt	210453
by	206348
sp	204220
ją	204102
wn	198333
iw	196834
ąc	195853
et	195623
tu	194178
śc	193724
ur	190308
im	190080
kr	186501
de	182364
tw	180726
ii	179805
cy	178285
ud	176583
nt	176440
bi	175785
ru	173782
us	173655
gr	173542
oj	169027
sa	168559
lo	168481
yk	168289
dy	167224
ró	166395
ln	163078
zw	161787
iz	161006
yp	159759
ył	159461
ip	159414
ho	156334
js	155101
it	151786
un	150578
il	150314
me	149970
uj	148701
ły	148413
og	146847
lu	146821
wr	145176
ri	144944
yt	141083
ca	140177
ór	139508
tó	139060
ab	138558
że	137437
zk	135810
ił	133490
iu	133444
ji	133308
ba	132206
ag	131786
so	130281
br	129924
up	129084
ga	129058
mu	125903
rs	124813
uk	120602
gi	120179
ią	119806
yd	118091
du	117721
wp	117124
bo	116956
oł	115488
ha	115354
