je	6898387
se	4793642
na	4589649
ne	4576064
re	4537897
ra	4536746
po	4492808
aj	4327669
pr	4300419
ka	4155150
ni	4105006
em	4020008
da	3953557
te	3951192
ko	3877870
la	3803641
st	3765936
ti	3754112
li	3610070
al	3428525
mo	3387029
il	3221456
el	3196710
ve	3130252
en	3108697
ri	3062576
to	2958062
no	2813914
za	2763434
bi	2752436
ja	2740632
am	2657432
bo	2625550
va	2561732
ta	2546960
in	2446263
or	2424696
im	2376401
an	2350783
ov	2324315
ed	2320598
ar	2295121
me	2246420
ak	2219434
od	2168252
le	2167301
ma	2132172
do	2071956
av	1998628
ro	1996854
ga	1979960
os	1967966
mi	1966550
si	1944798
lo	1931386
če	1889031
di	1850611
is	1807343
it	1796451
lj	1786123
de	1776056
vi	1764211
vo	1741936
om	1739887
at	1704488
er	1696371
ol	1640037
pa	1626865
et	1591361
nj	1590014
ob	1552655
oj	1523327
es	1512733
ot	1494687
ek	1399353
oč	1398990
tr	1371512
jo	1356298
go	1335087
sa	1191457
ji	1182103
as	1169958
az	1151224
sl	1145732
eg	1072857
so	1063546
iš	1063342
ad	1050056
ik	1041106
og	1039820
še	1019885
ev	1009352
ej	1000595
ij	995382
sk	993715
on	991000
aš	979511
sp	968974
ih	925775
iz	906588
ča	905942
ke	899243
ki	884195
ic	855832
či	839075
iv	830265
tu	817195
ju	816683
ič	812270
eč	795288
ok	774513
kr	774107
br	773756
be	764133
že	762720
ah	758882
vs	757856
id	756340
dr	743603
eš	739855
gr	699242
ži	690579
dn	665721
op	643172
ud	640855
pe	615481
tv	611905
us	604359
kl	600898
pi	591507
gl	583358
eb	580809
ce	580648
ho	545286
hk	536798
ru	536322
sv	536284
ci	535108
ca	532204
ša	518833
ir	518311
rj	511898
ab	508519
čn	502524
ku	497889
sm	484606
ap	484527
zd	480741
ba	478120
oz	474145
zn	473104
ač	472008
ez	458630
ep	452468
oš	452047
ub	448102
ha	445113
uj	437252
ze	435077
rn	426469
vr	424059
tn	423209
um	419322
ag	416990
up	394867
lu	392102
rt	376414
vl	370601
ož	368573
du	366862
mu	366851
ut	365826
ši	363485
pl	362592
nt	358768
ec	355331
zg	355086
vn	350371
sn	341264
ge	330904
bl	330684
zi	328636
uk	322129
pu	317275
ln	316085
kd	314445
ža	313919
šl	296745
ug	295277
ež	295189
dv	285233
ur	284577
sr	279105
co	275255
un	274337
hi	274175
ču	271776
šč	271530
nd	270690
ig	267310
ip	263787
he	257344
ns	254877
eh	248043
mp	245086
gi	244615
uš	241253
nu	233335
nc	231529
šk	230552
bu	229071
zu	225093
mr	224558
rd	222472
vz	219205
oh	215460
šn	214509
už	211498
hv	209652
ac	207488
rk	203799
zv	203011
nk	202010
bn	197573
kj	195202
zm	194843
dl	194836
jt	191047
až	190076
zo	190043
ie	184002
jn	182894
su	180865
jš	180800
št	179884
ll	179470
mn	173621
gu	172865
žn	171658
ch	168707
rv	165380
ul	164127
rb	161731
rl	160585
fa	160280
rs	159914
dp	156422
uč	152951
kš	149799
zl	147931
tj	142139
zb	138899
jd	138519
rž	135389
čk	134696
js	134628
ia	132735
nč	131568
hu	130763
dj	130603
