a	39734237
o	31438154
i	30672899
e	30626628
n	17907427
t	16356438
s	15990421
m	15187860
j	14472406
r	13827798
d	13790657
u	12088985
l	11187537
v	10560403
k	9376293
p	7812802
z	5724350
b	5649510
š	4838246
g	4773978
c	3244179
h	2229857
č	2099207
ž	2035444
ć	2018323
f	583982
đ	486603
y	316134
w	139165
а	94866
е	73286
о	71413
и	69441
x	39016
н	38837
т	36500
м	36295
с	35582
д	35373
р	33345
у	28949
в	25319
к	23157
ј	22890
л	22887
п	18498
ш	13727
б	13514
з	13184
г	11946
q	11879
ћ	8316
љ	7026
ж	6799
ч	6529
х	5068
ц	4695
é	4417
ĺ	3428
њ	3124
ä	3037
ŕ	2467
è	2429
æ	2154
ð	2154
ђ	1838
ą	1788
î	1768
â	1741
í	1711
ľ	1651
ф	1390
ń	1341
ó	1128
ë	1084
ü	1030
ř	993
ň	942
ˇ	941
á	937
ě	879
ö	755
ę	694
џ	667
ç	628
ď	571
ť	499
ă	432
ô	367
ý	330
ź	278
ş	233
ś	186
ő	159
ţ	146
ú	143
ł	129
ª	110
ż	78
ѓ	48
ß	34
й	19
ñ	17
ű	14
ӕ	12
ů	8
ˆ	6
µ	5
º	4
β	4
å	4
à	3
ï	2
̇	2
ı	1
ğ	1
ò	1
ã	1
ċ	1
ў	1
ї	1
і	1
ø	1
