a	88550633
o	73664851
i	73190062
e	69588228
n	41565366
t	40021636
s	36077817
j	35641489
m	34195145
r	32098520
d	29444840
u	27670503
l	25922196
v	24124687
k	21385342
p	18042100
b	13177815
z	12706833
š	11456463
g	11429967
c	6093952
č	5705505
ć	5486560
h	5232559
ž	4981370
f	1274919
đ	1188042
y	1034828
w	460696
x	113677
q	38523
а	32825
ą	14487
о	10647
е	9735
ľ	8966
â	7594
é	6265
ˇ	6182
è	5882
ĺ	5545
æ	5481
ä	4396
ü	3770
ð	3531
ј	3418
ş	3159
í	2481
á	2143
ŕ	2121
ť	2059
ö	1908
т	1884
ó	1590
м	1553
ń	1535
î	1505
к	1386
ç	1180
ň	1028
љ	929
ř	888
ă	803
ë	787
ý	722
ě	717
ô	706
и	644
ę	599
ţ	510
ď	464
ж	436
ż	422
ú	409
ł	400
ћ	397
р	352
ś	345
ź	315
µ	269
ő	240
þ	232
º	197
ª	193
ů	192
ã	191
ű	180
с	172
ñ	157
н	149
ø	134
д	127
愀	107
в	101
ß	100
攀	91
у	84
ì	75
ò	73
б	72
椀	66
漀	64
à	61
л	61
г	58
樀	54
п	52
х	47
ĳ	47
猀	46
渀	45
å	44
琀	41
ш	40
欀	39
椁	39
з	38
甀	37
洀	36
氀	36
瘀	32
ù	29
攁	29
爀	27
ђ	22
ф	18
愁	18
ï	16
ⰰ	16
õ	15
搀	14
戀	14
ч	13
ё	12
稀	11
最	11
瀀	11
ќ	9
û	9
ц	8
ā	8
挀	8
漁	7
ê	7
㼀	7
甁	7
渁	6
ӕ	5
縀	5
䐀	5
痴	4
ᄀ	4
匀	4
礀	4
ƒ	4
њ	4
џ	3
ÿ	3
栀	3
一	3
䴀	3
й	3
吀	2
欁	2
ⰱ	2
䬀	2
琁	2
ѓ	2
ї	2
η	1
β	1
ο	1
樁	1
䈀	1
唀	1
䤀	1
䄀	1
䰀	1
洁	1
刀	1
ⴀ	1
䠀	1
昀	1
π	1
ț	1
ī	1
œ	1
