ა	589075
ვ	437164
ჲ	397012
თ	363997
რ	291923
ნ	262822
ჟ	213089
პ	193001
გ	192742
ე	187261
მ	184326
კ	167656
ლ	138148
ო	111635
ჱ	94974
ბ	83052
დ	79597
ს	79053
წ	64689
ქ	56846
ფ	55759
ყ	54751
ზ	39186
ი	37939
ღ	31534
ჳ	29843
უ	18204
ტ	8962
ჩ	4664
ძ	4620
შ	3583
œ	1911
ც	1822
ხ	1357
i	1238
e	1216
a	1078
t	952
š	923
o	870
n	599
h	594
s	587
l	507
r	489
m	399
u	323
y	313
d	294
c	290
b	275
ჯ	224
g	213
ჭ	204
k	186
w	179
p	175
f	150
v	147
ჰ	129
j	55
î	50
ƒ	49
ჵ	49
è	44
x	38
ð	33
ò	30
í	26
ჴ	25
ë	23
z	22
ê	18
ñ	18
ï	16
ì	15
ÿ	11
ç	9
é	7
õ	7
q	6
ó	6
ö	5
ø	3
ü	3
æ	2
ù	2
û	2
þ	1
ý	1
ô	1
