а	10137631
е	7895603
о	7521210
и	5596968
т	4702955
н	4178532
д	3379076
с	3289388
м	3199595
р	3052680
в	2960398
к	2604689
л	2050154
п	1668334
у	1625888
ш	1487876
г	1424430
б	1386130
ј	1336078
з	1276287
ч	589370
ж	526476
ќ	410458
ц	316886
ф	175581
њ	119421
х	100069
ѓ	84118
џ	66316
e	29270
a	27690
o	25192
љ	14553
t	13568
r	13110
i	12422
n	11613
s	10564
l	9339
m	8738
d	7242
ѕ	7049
h	6803
k	6460
c	6451
u	5811
j	5230
y	4904
b	4716
p	4563
g	3999
w	3293
f	2555
v	2305
ѐ	868
z	820
x	747
ѝ	420
q	284
ъ	276
ћ	228
è	223
я	123
й	118
â	91
ª	91
щ	86
ђ	49
é	47
ю	33
і	30
ь	20
κ	19
э	18
æ	18
ґ	15
ї	14
є	10
ё	9
τ	8
ð	8
ż	5
ў	5
ž	1
í	1
ú	1
à	1
η	1
