ë	4415869
e	4334791
t	3766048
a	3388707
i	3049942
n	2937708
r	2867751
s	2406497
h	2223331
o	2197950
j	2065684
m	2028590
u	1977113
k	1816803
d	1751643
p	1243632
l	1041376
g	643210
b	527117
v	493680
f	455358
q	414028
z	272022
y	250168
ç	185863
c	143751
x	53824
w	13618
ą	1268
š	595
č	359
é	358
ć	250
ž	203
í	199
ě	147
ň	110
á	99
đ	72
ü	70
ú	69
â	67
ó	67
α	63
ҫ	59
ş	56
ă	56
ô	50
ď	48
ά	44
ε	44
ι	43
î	42
β	39
τ	37
ο	36
ń	34
ν	28
ĺ	25
ˇ	23
ę	22
ţ	22
ő	21
μ	20
ö	19
ŕ	19
σ	18
υ	18
ρ	17
κ	15
π	15
ä	15
δ	14
ý	14
ί	14
è	12
γ	10
ť	10
ς	10
λ	9
ñ	8
έ	8
ż	8
θ	7
ű	7
ř	6
ů	6
ß	6
ό	6
ė	6
ξ	6
ύ	6
ľ	6
ł	5
χ	5
φ	4
ω	4
µ	3
η	3
ή	3
ψ	2
ź	2
à	2
ζ	1
ã	1
я	1
ώ	1
ì	1
ś	1
