ang	2004255
kan	1798582
aku	1354438
men	1143419
nya	1142238
apa	854617
nga	852490
aka	833421
eng	822629
ber	757964
kau	740689
yan	717342
per	666541
ini	638443
dak	637859
ala	617335
ada	607880
tid	601903
ida	596131
lah	570333
itu	564259
gan	535787
dan	528064
mem	517709
ran	515929
dia	474037
ita	466047
ter	457260
ara	455124
emb	446784
uka	445527
ela	443022
ing	440420
ntu	428520
ari	426819
ata	422769
aya	419680
kit	406000
ena	402343
nda	402037
eka	401289
tak	392260
ana	390733
man	381147
tan	378378
era	371321
any	344780
tah	342712
ika	331132
and	331111
mer	322547
den	322408
unt	318805
ert	316239
tuk	315579
ung	315404
lan	313957
kam	312461
ama	309922
eri	302791
isa	296618
ahu	295285
lam	291524
har	284821
ngg	281428
ali	279020
han	278799
adi	274468
bis	266369
emu	266162
ere	264873
dar	257868
san	251050
dal	247751
pat	246071
say	243472
nta	239445
asa	233971
mel	233253
ngi	231221
asi	230151
rus	229512
rek	229075
aru	228635
ngk	226570
mba	224902
ora	224080
ent	217422
lak	217182
hat	214903
kar	212676
ima	209521
ian	209244
bag	207710
amu	207442
jad	205178
kal	205177
sem	204514
ema	202296
tap	197379
ban	194500
rti	193920
end	192620
ila	191921
sek	191862
iha	191748
nan	191598
aik	191291
nny	188777
atu	188757
ami	186923
lih	186288
awa	185083
aja	184093
kuk	183515
uda	182076
pen	180632
api	179989
sin	179758
pad	179061
gin	178365
aga	177999
ann	176896
iki	175597
dah	174955
sia	174817
mpa	172268
uat	171283
sud	171256
mbu	169185
seb	168895
mas	168788
eny	168108
elu	167234
sep	164886
bai	164781
pun	163752
ant	163350
car	162885
aha	162285
uan	161315
agi	160169
buk	158208
epa	158045
erg	157648
mat	154947
gat	153440
tem	152920
erj	151460
pak	149338
kah	145066
pan	144418
ati	142442
epe	142084
ten	141990
sel	141058
mua	140163
rka	139924
rja	138060
kem	137141
bah	136529
eli	135634
iri	134955
emp	134832
jan	134493
kin	134281
uny	134149
ebe	134114
kat	133809
bil	133375
ula	133084
ben	132354
bua	130853
nja	130031
ers	129389
mak	128408
erl	128334
enc	126882
enj	126804
sam	125053
rgi	123758
rim	123148
gai	122057
kir	121938
bun	121850
sih	121723
tel	121202
int	120855
saj	120033
rik	119963
tin	119521
iap	118745
ren	117281
dir	116785
erb	115820
bel	115336
tik	115149
ggu	114995
amp	114873
iny	114443
alu	114213
sal	113900
dap	113835
gar	113809
uru	113670
gga	113312
nar	113197
jik	111918
yak	111248
ene	110312
esa	110213
ras	110181
nti	109840
uar	109412
sen	109074
isi	108333
nge	107885
tar	107127
ain	106819
ker	106720
gka	106681
aan	106131
mun	105210
nak	105104
kel	104914
ong	102733
ank	102587
hka	102077
eba	101773
lua	101254
lia	101022
emi	100861
lal	100361
ark	99191
ses	98932
aim	98922
gal	98915
eta	98536
ern	98490
tun	98315
lai	97504
bar	96544
dis	96335
ili	96173
tka	95323
atk	94678
mar	94431
ken	94127
kas	93979
lag	93603
bal	91995
sua	91559
nah	91520
rap	91494
rta	91373
nmu	90819
tuh	90618
suk	89969
ger	89962
hal	89494
lik	89319
rak	89213
gki	89041
rna	88954
ebi	88608
iku	88407
nye	88400
leb	87915
amb	87605
uku	86939
anm	86820
min	86542
eru	86386
aki	86215
sat	85353
ahk	84847
enu	84696
ayo	84341
bih	84324
pik	84013
eor	82994
mbe	82993
rah	82744
yah	82510
set	82505
mil	82486
eti	82372
rin	81568
ele	81496
are	81252
seo	80466
erh	80036
uga	79118
idu	78931
eni	78450
sed	77114
imu	76520
pas	76441
eda	75602
gun	75180
wan	74149
utu	73820
ndi	73084
lin	72881
tam	72731
tas	72581
nuh	72539
sar	72105
mbi	72040
saa	71650
kut	71563
mal	70800
but	69389
dat	69268
ket	69218
mau	69186
esu	69007
rit	68759
uma	68483
ani	67907
ura	67657
uli	67626
bat	67187
wak	67017
nku	66650
tau	66219
nca	66204
ibu	65368
aks	65177
dik	65089
ica	64967
pem	64892
agu	64752
lum	64595
unu	64376
egi	64292
asu	64253
baw	64215
bia	64153
ngh	64037
git	63321
ebu	62362
ind	62303
rba	62263
akt	61984
aat	61913
nap	61655
erk	61618
mah	61338
nka	61281
sti	61124
ngu	61046
jug	60335
beg	60334
nam	60333
jal	59938
lau	59631
mpu	59430
ast	59243
sak	59105
hid	58856
bic	58103
hir	58001
tny	57983
kep	57571
rny	57486
kap	57305
erc	57247
maa	57243
ola	57198
tua	57125
nde	57007
rma	57006
ese	56853
rla	56716
dup	56357
par	56268
gus	56252
ete	56097
nem	55978
erm	55869
ria	55480
las	55330
kla	55313
eme	55276
anj	54607
aaf	54566
muk	54279
ktu	53953
aca	53914
hen	53879
usa	53868
kes	53794
rte	53470
uha	53290
nci	53082
can	53066
