det	1530998
jeg	1372896
kke	1047248
ikk	927244
for	766612
har	514885
til	498111
nne	494349
den	479734
lle	473489
tte	459753
der	459277
ter	444565
ere	428192
nge	423996
ett	406316
han	402496
ste	402381
ing	386338
men	374665
ene	362047
med	358737
deg	350683
vil	338295
meg	335555
kan	331360
ten	329033
hva	328272
mme	328140
som	319558
enn	318444
lig	301451
var	299572
gen	296518
ver	282353
ker	281280
ska	266073
kom	263705
ger	255303
ren	253420
ler	249392
vor	246645
mer	239492
ent	238900
hvo	237914
noe	237736
ner	236888
are	235187
kal	226291
her	222610
itt	221018
ill	219227
ord	218128
inn	215358
jen	211731
jør	205024
bar	202116
min	199722
vet	199089
all	197772
est	196929
akk	191437
ans	188698
kje	187223
ell	186061
opp	185752
nde	185414
ort	182775
eng	180949
vær	179932
ser	178796
gjø	175671
ske	174664
ang	170161
vis	169572
dre	169441
omm	166759
len	165521
sen	162138
bli	161902
øre	159790
hun	159425
man	157591
rte	154196
and	152982
gje	152508
nen	150238
nte	149164
vel	148654
tre	146813
ann	146358
rer	146106
din	145989
skj	145857
ære	145439
nei	144879
tro	143127
nsk	142296
end	140000
ven	139709
fra	138680
dde	137830
eli	135843
alt	133078
ret	132525
ove	131666
res	131255
unn	131097
att	130146
lit	129774
els	129758
hen	129432
hel	128421
rde	128414
ham	128166
tet	121584
set	119946
nes	119166
ken	118693
ist	117528
ert	116437
ide	115449
ant	114118
lik	112612
ine	112097
oss	110120
oen	109065
age	107595
sto	107087
per	106965
ete	106750
tak	106279
ele	105874
net	102419
hje	102160
amm	102026
rin	101321
art	100295
kte	100266
ors	100177
dri	100141
het	98467
sse	98104
kla	97558
før	96747
ull	96488
tid	96064
utt	95767
ake	95693
sel	94892
hvi	94809
pen	94771
lan	94126
dem	92553
ens	92359
old	92236
dan	91580
fin	91481
rke	91223
ket	91032
hve	90862
gan	89773
mor	89714
rst	89602
dag	89245
ede	87566
rfo	87131
ror	87011
igj	86368
god	85931
eld	85115
kel	85011
sky	84838
sam	84809
går	84766
tor	84538
del	84332
lag	84148
hol	84080
lar	84062
lde	83305
ige	82840
dig	82655
ike	82182
ore	81690
bra	81535
orf	81392
sna	81260
und	81078
ers	80674
elv	80613
nin	80072
jor	80018
ndr	79844
ran	79700
jer	79536
isk	79186
sta	79102
ier	78357
ble	78275
sti	77563
ise	77284
hør	77123
let	76777
ale	76459
iss	76246
gge	76181
rre	76091
ate	75962
jel	75502
rda	75346
ite	74013
tin	73659
lse	73321
rne	72260
bak	72220
ppe	71860
tel	71624
sku	71210
add	70671
bes	70542
gre	70527
one	70382
seg	70188
red	69276
nak	69164
kon	68744
ekk	68605
kjø	68340
sik	67965
tal	67896
had	67837
ass	66637
når	66527
lir	66365
ive	66303
lin	66246
eve	65921
tar	65918
err	65610
far	65520
får	65480
gjo	64392
str	64246
ern	63979
vin	63542
elt	63386
dra	63355
hei	62983
jon	62870
rei	62634
akt	62619
kul	62498
enk	62434
nke	62434
sjo	61768
kun	61256
ald	61065
stå	60920
eri	60914
ned	60897
sie	60718
jem	60271
erd	60226
ien	59742
rli	59696
ute	59565
vem	59484
ilb	58890
ikt	58842
bor	58350
edd	58171
nse	58042
sin	58037
ldr	57854
emm	57839
san	57778
rat	56319
bil	55875
rep	55123
spi	55105
ært	53586
kti	53510
ørs	53140
mel	52964
lba	52792
mot	52212
nns	52067
lsk	51925
sli	51798
ber	51759
les	51726
føl	51719
sid	51621
tig	51449
van	51428
ekt	51392
hus	51103
rdi	51016
obb	50898
ått	50844
kyl	50576
rge	50103
ris	49977
rik	49668
app	49666
oli	49601
prø	48982
bet	48841
ytt	48445
sje	48331
vit	48064
yld	48023
lem	47874
kri	47627
int	47583
leg	47485
liv	47405
ess	47164
met	47082
esk	46697
elp	46573
tra	46498
ast	46431
egg	46285
org	46221
irk	46129
vår	45896
kap	45557
mar	45323
skr	45142
lli	45034
par	44942
lte	44850
nta	44797
mit	44701
tis	44189
ffe	44182
era	44167
pro	44100
dit	43989
get	43981
job	43933
beg	43924
bbe	43889
ege	43885
igh	43722
gle	43679
reg	43628
vir	43426
pet	43398
ogs	43047
mil	42968
tan	42350
eie	42302
røv	42154
erf	41834
bru	41822
gså	41788
syn	41474
ane	41469
fre	41404
ngs	41404
asj	41319
pla	41301
fer	41298
død	41085
fan	40877
ile	40836
ame	40594
lut	40560
use	40559
kre	40397
ski	40333
sst	40283
fik	40267
nok	40095
tår	40077
ghe	39927
vei	39745
eit	39690
ted	39669
gel	39623
erk	39561
mye	39492
rit	39355
tem	39214
ode	39171
eks	39083
ørt	38882
sla	38705
ldi	38680
fol	38472
olk	38451
ønn	38254
tat	37978
mis	37668
run	37661
arn	37622
øde	37493
ank	37434
gra	37349
ruk	37249
gud	37225
ved	36926
sva	36888
pre	36674
aen	36671
las	36615
ndt	36509
rol	36284
hal	36208
oll	36189
lev	36148
lge	36054
dis	36000
sis	35871
nti	35734
slu	35557
son	35552
bek	35242
fte	35199
rek	35161
pis	35147
nat	35134
ykk	34955
ole	34915
sån	34750
øve	34698
lei	34400
ili	34384
tes	34235
spe	33934
sit	33877
rem	33671
pil	33586
ngt	33572
eil	33375
ind	33165
sat	33148
fly	33139
ins	33024
rie	32989
ung	32705
ade	32686
uke	32630
tyr	32521
ont	32493
ask	32463
lie	32397
top	32327
odt	32269
åpe	32115
lat	31879
avn	31793
ben	31343
ras	31327
iti	31276
kve	31206
tje	31190
gut	31017
nst	31010
ygg	30960
rom	30904
pte	30827
riv	30824
kur	30802
ave	30799
jed	30610
åre	30309
fae	30211
spø	30017
erl	29985
sni	29969
llt	29870
tse	29843
lve	29824
lpe	29688
edr	29642
usk	29572
bur	29537
rod	29459
mpe	29439
led	29342
llo	29200
rme	29090
rak	29031
ein	28814
jær	28681
rts	28590
pol	28453
kse	28141
bed	28131
øle	28036
ott	28024
vne	28007
ori	27961
lti	27899
ire	27893
øye	27875
fei	27828
sak	27775
gne	27738
måt	27686
kjæ	27634
okk	27600
pas	27402
ark	27344
ime	27334
odd	27305
ese	27253
agt	27232
ånn	27223
yre	26959
tok	26860
ipp	26809
tik	26672
sty	26559
rbe	26549
rob	26502
ard	26427
lov	26405
mat	26247
ekl	26223
tol	26138
orm	26114
nkt	26041
sek	25947
egy	25901
lla	25880
epe	25828
rev	25814
bry	25801
eta	25688
lke	25647
pør	25629
ura	25618
ram	25573
nar	25572
kvi	25545
ift	25537
tur	25520
sko	25415
hit	25321
lad	25231
tim	25197
eid	25177
mas	25144
gyn	25078
arl	25027
kar	25009
fal	24996
lær	24989
rig	24972
møt	24926
urd	24911
ami	24864
pri	24697
gru	24696
fri	24666
rso	24646
ndi	24552
mes	24544
åte	24482
ape	24464
lot	24426
øtt	24379
yne	24378
lip	24033
pap	24012
yte	24011
mma	23979
sir	23933
tri	23915
bei	23879
kat	23700
ban	23648
eis	23634
ora	23613
kam	23602
ari	23489
uli	23444
hat	23427
eme	23412
dat	23383
syk	23371
ons	23278
rar	23258
gam	23225
kyt	23205
por	23173
ful	23170
arr	23170
evi	23112
ølg	23082
gik	22984
søk	22924
slå	22897
ali	22838
nom	22771
des	22752
kin	22710
val	22706
rel	22623
dle	22588
kle	22521
gla	22476
vak	22407
spr	22328
lys	22297
orb	22277
tas	22265
iet	22194
aff	22182
erv	22101
ule	22063
gal	22053
obl	22009
nna	21927
eni	21866
fen	21828
esi	21803
cha	21795
nli	21787
ept	21713
arb	21694
ukk	21691
fle	21657
lis	21580
rve	21485
rsk	21473
arm	21433
lyk	21409
yst	21404
kas	21403
ote	21324
nda	21231
ppa	21220
ton	21204
ses	21189
løs	21184
ånd	21180
nno	21134
nil	21092
kku	20999
vid	20977
ndl	20948
øte	20794
nav	20655
rta	20636
bro	20594
emt	20551
ure	20525
lek	20475
ust	20473
sol	20429
øke	20405
egn	20403
ryk	20286
ond	20276
ilt	20257
jef	20222
nsi	20215
bre	20196
mid	20190
ild	20185
dør	20136
ink	20094
mål	20066
nel	20054
rav	19987
ost	19965
ros	19961
tør	19894
tei	19865
lom	19855
nær	19809
kol	19744
vik	19737
kor	19696
øns	19692
aks	19687
try	19627
ref	19605
vek	19571
ets	19545
orl	19533
sag	19524
bev	19493
ntr	19460
små	19455
høy	19432
nni	19415
stø	19247
ron	19242
nor	19228
nis	19228
sle	19117
øst	19089
gir	19078
mul	19077
igg	19064
fun	19021
yen	18985
røm	18979
ina	18967
emp	18964
dam	18929
bel	18908
ynn	18886
amp	18879
svi	18793
raf	18729
ara	18572
blo	18544
apt	18534
luk	18465
ukt	18452
ars	18414
ona	18215
aml	18206
ork	18196
gte	18193
rle	18161
jek	18122
ika	18059
bla	18011
mam	17995
alv	17995
lok	17930
sve	17848
jæv	17839
rma	17797
stu	17767
mon	17720
mle	17677
egu	17600
fyr	17563
jan	17488
fam	17356
ykt	17331
ong	17288
kra	17255
lst	17249
jul	17240
sja	17218
håp	17216
orr	17173
lyt	17052
nal	17028
ral	17005
tom	17003
rop	16999
tie	16948
spa	16850
bri	16839
sma	16799
nga	16798
idd	16776
tru	16668
off	16600
rus	16573
ngr	16570
ion	16481
erg	16481
orn	16454
elg	16448
rri	16442
jøn	16400
nyt	16389
søn	16384
ian	16363
øpe	16351
tli	16338
uts	16333
ilk	16324
ose	16320
rti	16222
gif	16191
ani	16167
ati	16162
ult	16154
ærl	16110
dli	16099
sov	16084
ety	16074
dom	16030
tni	15994
yde	15976
oka	15936
tsa	15852
rap	15849
tiv	15831
fes	15820
hån	15817
råd	15804
flo	15779
fil	15776
nfo	15688
urt	15647
dro	15603
kni	15591
bye	15539
umm	15491
ømm	15478
åne	15368
ple	15287
the	15282
beh	15255
vde	15210
ynd	15140
pra	15107
eff	15097
ack	15086
ves	15048
kes	14922
bør	14921
his	14921
iel	14918
hod	14854
jøp	14832
kne	14776
hos	14748
avi	14725
løp	14719
