ere	784155
der	703461
for	638622
nde	577141
den	541865
det	539896
ter	529110
ede	480478
til	459628
ing	411604
and	393515
ret	383418
ger	369578
nge	358866
end	349378
ers	336748
ens	326865
ste	325756
kke	323212
lle	322773
gen	314092
rde	303293
eri	297860
lig	296722
ern	289553
ver	283749
med	281507
ige	280041
ler	252220
ent	248270
men	248148
ren	243897
ind	242371
bli	241939
rne	238595
sen	236124
ene	231243
ner	223994
ske	220431
mme	220351
erd	212707
ikk	212641
est	212221
ten	209116
tte	207437
man	203312
erf	197719
rer	196054
nin	194267
som	192434
har	191632
els	190909
eti	189256
res	189120
und	184187
ets	183759
ang	178441
ska	178073
age	178014
cer	176588
era	176251
ser	175463
ans	173929
ide	170843
ker	169768
rat	169639
lan	168355
mer	167415
ber	166717
lde	164265
ive	163971
ice	163678
ove	162360
ord	161096
lse	160896
ete	160107
ubl	159415
rin	157883
pub	157472
del	157410
get	157179
ill	156617
ero	156150
dag	154965
ist	154848
lic	154002
fra	153713
omm	150873
kom	149721
ert	147529
red	147142
erm	145863
lev	145196
ion	144969
erh	143571
eta	143290
var	142208
eme	141052
tde	140518
vær	140353
sig	137629
han	136817
des	136541
ogs	133529
fte	132832
eni	132726
dan	132630
ore	132536
nog	131814
isk	131368
nne	130470
hed	129648
sta	129402
old	128345
eve	128093
sti	127944
kan	126891
enn	126549
nsk	126265
kal	125115
ors	124410
igt	124012
rti	123895
nes	123715
rfo	122922
rst	122722
ena	122631
eno	122478
ati	122089
ort	121570
str	121488
nte	121067
vis	120938
enf	120004
eog	119991
rog	119310
ken	118017
erk	116360
efo	115808
ved	115606
nst	115206
ære	114920
dre	114603
sto	113791
enh	113695
eda	113550
erb	112390
tet	111351
rke	111065
tor	110792
ale	110242
art	110161
eto	110012
hol	109747
rik	109578
ble	109556
vil	109528
iti	108917
ege	108639
rme	108038
erv	107985
nen	106706
rig	106464
len	106119
ell	105786
rbe	105274
vor	104506
eli	104336
ett	104067
ndt	103134
are	102410
tio	102238
esk	102122
ven	100748
tid	100407
hav	99776
all	99228
tat	99006
tal	98982
one	98935
tfo	98002
ark	97614
sse	97500
erp	97467
etf	95884
rem	95470
enm	94663
nds	94606
åde	94603
tre	94159
ave	93946
erl	93593
rsk	93520
sko	93252
rma	93223
dde	92797
ila	91781
sam	91502
kon	91464
øre	91363
nse	90966
oli	90494
eng	90449
gde	90263
mar	89975
lit	89321
een	88523
eds	88271
lin	87588
ran	87509
nfo	87280
dem	87130
mbe	87052
oge	86857
liv	85926
ora	85540
dst	84922
ned	84665
arb	84545
esi	84067
emb	83913
sel	83853
eha	83682
gge	82986
eft	82746
ris	82722
bru	82602
ngs	82567
let	82531
rte	82301
led	82058
ges	81435
kri	81320
tog	81242
min	81174
ade	80610
tti	80557
fre	80123
etm	79998
tik	79571
atd	78802
gan	78639
orm	78174
rpå	77987
enb	77923
raf	77807
sid	77659
tis	77625
lat	77552
per	76816
gti	76653
par	76465
org	76385
mod	76354
enk	76353
taf	75454
pol	75407
ats	74852
dig	74769
tme	74490
att	74257
rli	74220
jeg	74153
vin	74069
kun	73936
før	73907
tem	73779
eat	73715
nti	73696
ild	73254
gså	73235
env	73169
ise	72991
ien	72842
hvo	72744
tan	72724
etn	72596
rsi	72585
ele	71946
net	71817
etd	71754
rha	71686
lem	70998
ted	70934
ket	70252
epå	70225
pro	69701
alt	69581
erg	69036
kol	68798
reg	68416
tin	68368
vet	67879
etv	67836
nha	67623
bet	67592
når	67382
ejd	66846
ogd	66844
rre	66741
ars	66664
tag	66392
gel	66269
eaf	66071
ate	66036
ald	65686
amm	65402
tra	65382
lli	65330
eth	65325
elt	65175
nis	64758
ema	64328
bej	64102
ole	64076
nat	63818
tig	63786
kel	63630
nma	63296
nda	63034
lar	62962
eko	62936
ndr	62554
evi	62423
dat	62420
tes	62403
lag	62306
rie	61944
bor	61817
ard	61534
ndi	61379
enl	61163
sin	60899
gte	60821
top	60741
øge	60654
hel	60603
rse	60586
def	60372
dti	60285
enp	60150
afd	59935
agt	59822
uar	59753
nme	59456
her	58771
rda	58678
vej	58415
les	58294
ral	58003
ørs	57955
rvi	57910
deb	57757
rge	57505
lad	57496
bes	57371
naf	57215
eer	57136
igh	56968
kla	56907
lge	56880
ghe	56863
anm	56788
bil	56771
åri	56703
etb	56677
eso	56615
rel	56581
tha	56483
sat	55886
etj	55846
kti	55720
ess	55551
esa	55258
elv	55246
skr	55158
ari	54952
jer	54923
edd	54809
rso	54725
ils	54716
pen	54635
nem	54623
ree	54497
rfr	54419
rek	54386
ane	54363
akt	54224
ese	53929
eje	53852
mel	53505
ant	53409
ine	53352
ben	53163
nal	52754
ude	52718
etr	52648
dog	52409
rud	52153
råd	51981
ref	51855
ons	51825
ode	51583
ded	51328
eru	51224
aft	51138
dte	51131
tpå	51036
atf	50984
run	50893
int	50735
ass	50688
ein	50685
emm	50673
edi	50363
sik	50184
ked	50075
oms	49893
fde	49817
kes	49751
etp	49691
iet	49565
hus	49329
pla	49184
mun	49154
ebe	49084
ile	48917
yde	48773
afs	48759
tst	48551
ebr	48498
sty	48389
ndb	48165
jen	48133
uds	48092
god	47987
orh	47750
gef	47660
tie	47633
eks	47565
err	47533
deo	47494
dse	47407
gfo	47211
ier	47110
tsk	47026
ela	47020
rea	47012
sda	47011
tvi	46854
spi	46549
mmu	46473
bør	46448
dei	46429
ppe	46417
går	46324
rts	46306
æld	46266
rbl	46254
vel	46217
ank	46175
jde	46119
vem	45973
ård	45968
mde	45840
rdi	45801
eom	45614
ili	45451
nga	45275
ads	45248
dea	45219
vid	45175
val	45077
esp	45008
sme	44860
ænd	44795
dee	44769
sla	44737
hvi	44721
rug	44716
hun	44645
rve	44525
ali	44467
rko	44466
etk	44375
dek	44364
orb	44268
ivi	44227
efr	44175
uge	44147
eba	44001
vde	43981
irk	43976
tur	43894
sfo	43877
tel	43854
ndl	43848
enr	43752
tli	43696
ori	43485
tse	43471
lla	43462
pri	43447
rev	43327
ogf	43251
gaf	43215
riv	42868
eva	42828
gru	42649
igs	42632
gør	42604
nta	42544
dep	42384
mid	42362
ilb	42330
evæ	42317
sag	42300
rød	42276
øde	42264
mat	42216
met	42212
omd	42165
tiv	42007
une	41959
enu	41922
hen	41833
lsk	41797
dda	41753
eka	41692
lis	41656
ldt	41511
ogi	41494
mil	41490
ome	41489
rup	41479
fin	41469
ika	41419
emo	41231
nov	41158
dta	41129
fol	41011
tfr	40973
æng	40919
rop	40868
ørn	40853
set	40825
ids	40776
nef	40761
nor	40711
ilf	40561
rla	40523
kte	40420
the	40411
sku	40337
ast	40325
olk	40216
nei	40163
dsk	40125
tro	40058
emi	40031
rkl	39998
ath	39998
deh	39993
din	39973
enå	39955
mes	39784
kab	39734
ged	39659
oma	39606
gme	39519
dfo	39518
gle	39497
ærk	39322
kul	39319
dle	39266
eud	39244
arm	39182
rks	39144
tom	39133
tru	39048
træ	38940
anu	38938
løs	38865
ekt	38830
rmi	38725
jan	38698
ogh	38673
læg	38629
ski	38403
log	38283
tno	38269
tek	38254
giv	38245
ogb	38069
cen	38054
gra	38026
gpå	37904
ebl	37814
por	37782
nve	37740
sva	37728
ani	37718
tni	37668
nsi	37593
hje	37582
rad	37551
ånd	37452
ece	37377
idt	37369
søg	37290
alg	37144
als	37140
van	37124
omi	37090
ves	37026
fle	36882
spa	36738
ung	36685
nvi	36669
rep	36624
ini	36610
spo	36470
eop	36281
meg	36278
reb	36230
ida	36129
bag	36125
ilm	36042
gne	35988
påd	35931
vad	35883
tar	35841
npå	35683
rsa	35629
dli	35595
ldr	35594
ogm	35572
ogl	35549
gst	35471
tsi	35397
bar	35387
reo	35297
mus	35234
dis	35210
nua	35174
gha	35087
rhv	35056
dec	35016
kat	34904
tko	34769
ial	34732
rak	34614
dom	34592
nso	34584
slu	34532
tma	34508
tea	34494
stø	34481
ilk	34463
hån	34419
lov	34334
usi	34308
tbe	34298
edr	34211
abe	34159
sæt	34145
rom	34138
fri	34137
rhe	34054
ann	34054
ebo	34046
tim	33885
nik	33884
nom	33868
avn	33862
gre	33843
nke	33840
spe	33837
orf	33801
ban	33770
ndf	33766
pås	33761
lik	33751
sde	33743
får	33741
hve	33708
tud	33676
stå	33663
nel	33613
dev	33555
ras	33496
kto	33476
ået	33451
sog	33319
tef	33311
bol	33268
æll	33224
uli	33167
ntr	33158
føl	33138
atb	33110
ike	33079
ork	33073
avd	33040
rsd	32973
rit	32910
ron	32865
ins	32793
gem	32773
spr	32691
lke	32636
dpå	32628
æst	32597
pil	32531
erø	32523
cem	32485
dsp	32418
rta	32406
ina	32326
dvi	32277
jæl	32267
ram	32249
rva	32247
rno	32175
bla	32147
vir	32123
ite	32108
gog	32049
ara	32039
mpe	32036
tso	32032
kra	32025
lst	31906
odt	31865
mød	31731
lok	31730
arf	31651
byg	31580
ame	31532
dso	31520
tør	31517
tsa	31371
ros	31301
omh	31291
mti	31282
nko	31239
ost	31163
tbl	31130
rka	31114
kro	31040
påe	31011
oga	30937
epr	30906
ffe	30888
hva	30852
atv	30792
esl	30772
rid	30716
geo	30697
fal	30670
lys	30661
ust	30590
tsp	30461
rag	30444
nsa	30438
kni	30384
edo	30380
arl	30380
ega	30346
tje	30324
tja	30302
ato	30299
sep	30226
mis	30214
lot	30054
tyr	29871
læs	29807
kvi	29807
arv	29805
afe	29743
åen	29741
dbo	29732
omr	29720
ætt	29689
ækk	29652
rds	29626
idd	29625
etg	29618
use	29580
edt	29548
isi	29434
eår	29374
gik	29363
ses	29321
orl	29281
tri	29263
ure	29261
nye	29204
leb	29156
lte	29118
fik	29117
jem	29073
san	29057
nbl	28999
eik	28898
åre	28851
iha	28728
kre	28695
erj	28625
lti	28609
ægg	28599
ssi	28563
esu	28563
rsl	28534
nbe	28531
rei	28529
atk	28500
uni	28492
feb	28473
rav	28463
nce	28432
rsø	28364
ime	28325
lie	28309
ndo	28292
ire	28289
ean	28212
rto	28173
ngt	28171
daf	28154
edb	28114
eho	28106
bra	28104
tva	28096
amp	28067
høj	28000
ogk	27958
lfo	27954
dme	27947
far	27939
rua	27856
tve	27855
bed	27855
åbe	27819
nan	27796
påa	27785
udv	27774
syn	27769
keh	27763
fen	27756
ykk	27709
orv	27703
unn	27702
obe	27692
øbe	27687
alv	27678
atr	27662
aff	27623
rum	27616
sma	27566
gvi	27489
kli	27484
geh	27483
såd	27370
rho	27346
dri	27300
kam	27280
mal	27275
ygg	27221
lds	27087
rhu	27078
ølg	27063
ntl	27005
etl	26942
ngi	26926
aml	26908
rfa	26816
års	26813
dsa	26807
påf	26768
nud	26712
tob	26711
ont	26689
nli	26540
ifo	26521
gta	26479
okt	26464
egi	26461
keb	26460
iko	26449
lær	26419
ræk	26418
uti	26413
atg	26409
afh	26383
tvæ	26380
ørt	26311
sni	26306
tne	26284
anf	26245
mor	26230
gea	26222
gma	26139
gni	26093
lut	26051
lef	26049
sit	26042
lid	26040
kør	25987
kek	25941
ita	25934
sst	25884
sle	25859
nka	25846
kef	25808
ndh	25781
nee	25779
omk	25739
atu	25705
ikl	25700
fat	25631
orn	25608
ags	25562
tår	25558
ngo	25535
kem	25511
yst	25444
oka	25408
dal	25378
øje	25374
son	25370
neo	25329
kor	25223
lav	25209
teg	25207
igg	25185
anh	25179
efa	25145
ogt	25136
eet	25106
iga	25100
eld	25003
adi	24997
teo	24981
rim	24975
ata	24954
kse	24937
esm	24899
ult	24888
ple	24880
kev	24865
fun	24830
sem	24792
kea	24780
vne	24777
ogp	24770
ian	24766
edl	24755
ørd	24752
gse	24728
køb	24725
anl	24697
nfr	24689
opl	24679
bel	24636
ima	24560
hal	24518
vik	24481
pte	24461
mle	24392
etu	24372
uns	24327
sho	24323
omb	24312
hos	24310
nho	24251
eal	24248
ldi	24235
ogv	24217
sun	24207
ilh	24180
neh	24173
rna	24138
tsl	24124
mrå	24062
ask	24047
rtr	24022
ibe	24003
yre	23994
ngp	23914
dva	23801
sio	23790
ehv	23735
urs	23689
mst	23677
ejr	23664
dni	23638
isa	23592
idl	23589
gsk	23583
ehe	23522
emt	23520
ræn	23517
ngd	23461
nyt	23455
lta	23444
ept	23381
egr	23348
mål	23343
nie	23340
amt	23308
die	23291
hør	23268
arr	23219
kil	23202
øse	23155
dsi	23154
ety	23136
lun	23111
beg	23077
iss	23073
sve	23063
edf	23062
ogr	23058
esf	23005
ekr	23005
tda	22971
lbe	22968
edk	22959
nva	22921
ilo	22919
køg	22914
esv	22914
rbr	22896
sal	22877
lio	22871
ærd	22850
tså	22813
gev	22777
ala	22765
påv	22752
sli	22727
neb	22693
kst	22671
aro	22656
iel	22640
nhe	22630
slo	22616
nev	22614
igm	22579
tka	22544
ote	22528
sed	22521
nsp	22463
fer	22452
eid	22440
oll	22432
ono	22408
ndv	22343
afa	22284
sor	22250
mul	22226
avi	22212
efi	22165
gei	22147
las	22145
bat	22131
mas	22130
atl	22109
tok	22104
ehu	22090
nyh	22068
nek	22048
opp	21999
olm	21989
kog	21947
fly	21936
sbe	21921
ona	21917
opt	21898
eså	21896
tho	21895
ngr	21892
lvo	21840
ror	21838
igi	21831
yhe	21809
alb	21802
nla	21793
reh	21765
svi	21756
geb	21730
skæ	21722
blo	21696
sek	21693
idi	21638
egn	21638
fes	21587
rga	21569
nto	21549
esø	21549
ilt	21455
rov	21437
nar	21429
ull	21414
næs	21355
kep	21317
ibl	21302
rar	21290
deg	21243
fan	21219
ano	21207
jor	21169
arh	21149
dra	21143
fir	21138
ærl	21111
ssa	21065
jds	21040
øst	21012
epe	20999
