nie	666094
rze	394648
prz	352039
owa	337580
ego	335064
sta	333193
ych	303796
dzi	301779
ani	279387
wie	257572
nia	250042
eni	246482
się	240788
ski	238619
iej	236257
kie	234864
wan	217513
ier	216816
rzy	212415
mie	199251
ost	196649
ści	192314
czn	186240
ach	180509
est	179529
owi	167635
zie	156262
ami	155574
jes	154993
nyc	153434
owy	151538
cze	151528
iem	149762
pod	149422
ana	137313
czy	136085
ien	133856
cie	133590
icz	133538
owe	130338
ona	129083
ies	127274
dow	127110
pow	127099
ast	126516
cho	124364
ist	123514
str	123339
iel	122315
zna	121536
sto	121218
cza	120693
any	118319
odz	117970
ośc	117206
rok	117059
ała	116227
dni	115810
yst	114852
kow	114346
pro	113773
ich	113665
now	112213
nic	111488
tał	110756
ejs	109772
jąc	107902
iał	107753
zen	107244
apo	106839
szy	104801
ają	104478
nym	104094
był	103925
wał	103204
pra	102769
iec	102703
oku	102578
ieg	102228
ter	102202
trz	101888
nik	101858
iew	101378
kon	101360
pie	101075
awi	100933
jed	100339
ycz	99843
zos	99541
któ	99405
zas	99156
row	98068
raz	97877
edn	97763
naj	97408
ina	97308
ako	96893
ora	96808
tow	96366
acj	96312
mia	96012
rod	95948
oni	95584
pol	95443
tór	95028
sze	93908
nej	93902
ied	92442
wni	92352
ali	92274
cji	91455
rac	90645
ocz	88862
iep	88720
tor	88596
acz	88437
esz	88267
zez	88080
tyc	87788
ane	87329
ent	86309
spo	85535
ano	85297
asi	85229
ale	84839
tan	84217
zys	84065
ecz	83807
aln	83590
roz	83472
ran	83176
stw	82834
emi	82782
ata	82731
wia	82490
opo	82073
ada	81931
min	81790
neg	81570
wsz	80407
ony	80277
esi	80034
aro	79982
epr	79903
jak	79651
lic	79054
era	78877
epo	78791
nap	78057
odo	78020
zes	77917
ało	77775
uje	77671
gra	77595
adz	77578
sie	77334
arz	77233
zon	76824
tra	76280
iek	75998
erw	74933
omi	74815
osi	74510
owo	74494
zcz	73998
ian	73911
ion	73715
ywa	73650
iez	73080
apr	71982
tni	71787
woj	71759
zni	71740
ska	71563
ład	70794
war	70436
ato	70339
wyc	70226
nac	70101
ini	69952
ate	69570
raw	69552
ias	69465
nas	69174
yna	69098
oje	69089
opr	67967
oli	67348
zne	67265
ówn	67217
oko	67165
ena	66907
aje	66876
noś	66756
ymi	66228
rów	66194
szc	65956
tak	65881
wro	65432
szk	64855
nad	64279
nak	64275
sza	64216
pos	64089
ows	63379
bie	63355
one	63265
erz	63153
ono	63006
chn	62701
lat	62510
naw	62335
zia	62266
ość	62012
chw	61827
wod	61799
naz	61690
odn	61269
niu	61145
cha	61143
akt	61076
ele	61047
sty	61002
kic	60605
dan	60497
zac	60448
zyc	60381
ole	60342
tar	60278
aza	60113
ńsk	60094
ały	59723
kar	59704
zny	59024
ado	58818
ika	58681
zym	58458
orz	58384
ują	58178
chp	58124
ero	57938
ipo	57806
nat	57803
ron	57764
poz	57563
tac	57496
art	57044
nar	57038
ara	56893
two	56820
wej	56771
ków	56704
nan	56680
cia	56541
ech	56398
zed	56258
wsk	56231
wys	56153
oro	55858
zec	55769
poc	55619
cja	55497
nio	54970
świ	54380
kol	54305
tem	54128
iet	53910
awa	53896
lsk	53820
nal	53649
ypo	53630
yni	53601
ący	53432
wię	53310
kim	53190
okr	53026
iad	52776
hod	52694
ols	52674
zan	52464
ekt	52200
jeg	52188
czę	52108
por	52099
tro	52035
wal	52026
cki	51837
ste	51525
eci	51296
taw	51088
łow	50891
jsk	50874
awy	50815
udo	50678
zyn	50481
iza	49575
par	49329
mar	49325
eza	49093
zaw	48858
kom	48714
wym	48695
chi	48571
tur	48250
zwi	48166
ers	48043
bra	48031
tym	48002
eje	47744
eli	47726
stę	47574
sam	47437
twa	47344
lin	47344
tęp	47213
czo	47093
ypr	46867
dob	46625
aty	46536
isk	46433
zew	46016
zaj	45881
łas	45833
ere	45732
and	45616
lan	45295
ipr	45217
dna	45141
zam	44701
iat	44690
poł	44657
rak	44591
gow	44574
lis	44405
wst	44358
ące	44291
zpo	44252
och	44141
res	43989
ard	43963
kła	43899
ięk	43897
wor	43852
lub	43845
czą	43789
usz	43665
yci	43654
ars	43545
kaz	43412
sko	43241
jsc	43222
olo	43184
tów	43154
ław	43087
asz	42992
ięc	42958
bud	42935
ema	42909
cen	42872
arc	42838
wpo	42811
ańs	42670
lni	42580
nis	42511
ejp	42303
imi	42222
nam	42213
ama	42088
teg	41960
ewi	41956
óry	41944
osz	41896
men	41733
edo	41614
ery	41529
amo	41076
łsi	41021
azw	40964
udn	40961
oty	40952
yka	40881
wcz	40844
unk	40834
lne	40750
edz	40745
zer	40603
zeg	40590
gop	40464
ame	40425
dla	40352
dno	40281
bar	40242
kra	40061
wad	40054
opi	39963
ogr	39950
ieo	39907
uro	39892
kan	39875
nos	39837
mat	39823
dop	39751
iar	39662
oza	39495
ram	39474
sow	39452
zar	39438
lny	39415
ięd	39124
rws	39095
upo	39079
obi	39017
lit	38908
szt	38859
ież	38809
awo	38802
aki	38384
wła	38374
yko	38144
zko	38124
edy	38059
wią	38011
pot	37870
god	37789
wyk	37766
tki	37766
rza	37646
ust	37560
dos	37499
zem	37397
gos	37383
iko	37344
emo	37257
oby	37195
ięw	37176
pom	37170
zak	37026
ksz	36968
chs	36957
pis	36945
rad	36900
mis	36892
moż	36788
zyk	36757
śni	36627
dyn	36622
oda	36601
ros	36577
iow	36533
eko	36447
ędz	36380
las	36324
obr	36310
iaw	36258
odw	36202
yjn	36187
kup	36117
ejw	36081
bli	36045
kac	36015
esp	36006
zap	35941
rat	35883
dem	35876
omo	35861
ydo	35789
kre	35778
uni	35660
oma	35646
dze	35634
yma	35633
łos	35504
atu	35485
lud	35439
óre	35368
kcj	35353
chz	35350
zał	35331
opa	35314
pon	35230
wyd	35158
own	35147
odu	35141
uch	35111
yła	35063
weg	35057
inn	34996
oto	34848
nta	34839
kor	34829
oso	34774
koś	34722
ewy	34625
rsk	34595
pół	34546
dłu	34537
eri	34439
ria	34398
ite	34390
pre	34380
rem	34350
wpr	34316
emp	34290
zyw	34266
pop	34247
man	34237
rdz	34209
mpo	34116
ałs	34043
ług	34039
oka	34002
zył	33990
zka	33876
api	33828
ięt	33805
chr	33770
for	33706
ala	33692
tat	33634
jny	33520
zło	33505
agr	33498
uży	33350
dom	33331
atr	33302
ałw	33264
spr	33188
ili	33166
aka	33075
liw	33057
ęna	32927
ari	32884
wsp	32758
zek	32740
jej	32602
stk	32584
ote	32568
rni	32551
zow	32510
rez	32502
swo	32404
dok	32330
tal	32318
ews	32300
zej	32261
nyw	32209
cow	32109
ori	31951
anc	31950
ącz	31938
pad	31888
iap	31830
mię	31595
ęci	31539
ieb	31534
oże	31527
ren	31433
una	31394
nny	31374
ido	31334
len	31319
top	31291
mow	31277
ryc	31270
afi	31201
łów	31173
ejn	31116
obe	31104
tyk	31001
cio	30977
tru	30873
jsz	30743
iąz	30570
dzo	30563
ant	30542
otr	30481
eka	30462
aci	30428
ysi	30422
nte	30397
eks	30331
ern	30319
arn	30210
zal	30201
iła	30191
iwi	30129
ela	30128
lek	30094
kiw	30092
ewn	30023
kam	30003
ześ	29997
raj	29991
ory	29936
ięn	29913
ywi	29879
ięz	29879
eck	29869
ten	29863
ore	29842
ucz	29841
rzą	29796
wic	29777
eja	29715
lon	29659
nyp	29642
odp	29600
kto	29582
cyj	29529
ońc	29492
gan	29459
tom	29452
pla	29426
orm	29415
łod	29383
raf	29244
odc	29229
gru	29223
cią	29194
isz	29165
zin	29142
hni	29094
zmi	29075
sob	29035
ont	29002
stn	28981
aby	28942
oło	28887
akż	28867
zki	28821
ior	28799
dro	28691
kże	28669
acy	28627
udz	28570
wyn	28568
yda	28561
lem	28496
rob	28457
asa	28440
den	28370
wis	28349
upr	28335
aws	28303
ząc	28291
zwy	28279
zwa	28242
mac	28235
obo	28210
ral	28193
sła	28132
ytu	28114
mni	28098
enn	28083
har	28080
ewa	28050
ezo	27987
his	27981
iac	27952
bro	27945
nau	27942
zyp	27932
osó	27922
tos	27920
zęś	27879
ciw	27815
ozw	27750
stu	27734
leg	27719
tyl	27675
dzy	27599
łon	27510
ner	27494
ryt	27454
umi	27448
spó	27405
ogi	27352
dza	27260
ial	27252
hna	27239
yza	27170
życ	27158
niz	27129
odr	27086
gor	27073
isa	27006
ęst	26995
per	26984
lar	26984
koł	26981
dar	26937
eta	26905
iki	26901
ady	26884
łan	26872
ort	26848
rsz	26843
żon	26842
iwy	26831
etr	26802
ton	26750
daw	26729
zdo	26720
aja	26591
wna	26585
kró	26567
ser	26562
koń	26562
ary	26561
wyb	26540
sce	26527
roc	26518
ysk	26513
ode	26476
ców	26406
odk	26392
ade	26392
twi	26354
uko	26333
ryw	26232
yje	26140
dru	26130
reg	26123
ita	26121
are	26088
wyp	26012
rys	26004
sób	25996
gro	25988
ods	25941
ieś	25922
ejo	25876
iei	25862
sku	25827
isi	25818
otn	25807
nag	25801
kap	25790
kat	25767
wol	25749
dcz	25711
dst	25710
ity	25696
mer	25622
tam	25605
liz	25596
abi	25523
chk	25514
iwa	25491
pan	25438
nes	25434
chm	25433
wer	25432
ces	25396
tko	25366
enc	25351
ajd	25326
nep	25323
new	25257
mor	25240
ios	25239
lej	25210
duj	25202
ęks	25185
tyw	25140
tek	25119
moc	25114
ząd	25100
elu	25092
gie	25089
ozn	25062
wow	25037
ewo	25011
sia	24918
eby	24914
ety	24872
mpr	24871
ene	24868
rzo	24799
ezn	24793
eśn	24709
nst	24682
pok	24633
chd	24631
ryk	24546
low	24515
ang	24490
taj	24480
rał	24474
ans	24471
gmi	24453
goz	24432
waż	24431
emu	24406
emn	24351
uto	24349
ńst	24343
elk	24338
źni	24287
dor	24270
sch	24260
łoż	24260
kal	24241
win	24238
rma	24230
nki	24220
ice	24215
der	24214
yms	24204
kip	24172
how	24137
nim	24125
żen	24122
oln	24090
pni	24088
gen	24085
che	24085
odd	24044
tec	24026
noc	24026
zeb	24015
apa	24008
óww	23956
żni	23914
awn	23848
imo	23840
kań	23768
iam	23762
yli	23751
alu	23742
lik	23737
cin	23734
sił	23718
ysz	23714
sią	23714
wzg	23691
maj	23656
iwo	23644
ons	23616
rop	23609
ził	23596
róż	23559
tej	23537
kil	23535
ezp	23531
eze	23487
słu	23460
eku	23441
ówi	23439
cyc	23434
ńcz	23431
eod	23384
yło	23380
osk	23379
lot	23357
elo	23351
nne	23328
mna	23318
cję	23201
nem	23163
ula	23155
ede	23133
ejz	23118
red	23116
ura	23114
icy	23105
kop	23101
ola	23090
ima	23070
ówp	23055
rii	23038
izo	23022
leż	22970
łąc	22962
eto	22932
ową	22912
ica	22891
ing	22889
łni	22883
lac	22850
fra	22795
zel	22783
iaz	22774
hpr	22674
osp	22673
log	22626
ncj	22623
ępo	22611
yno	22607
rol	22605
ozo	22587
gon	22573
ięp	22567
ark	22528
oła	22455
fil	22440
ozp	22436
aco	22419
szo	22405
wać	22393
lew	22352
chc	22350
rot	22327
nię	22326
ród	22310
ije	22305
dal	22294
cer	22281
nek	22229
wko	22220
yte	22177
mał	22151
kry	22136
ras	22102
ałe	22082
zep	22044
org	22038
jne	22028
gło	22011
lko	21986
san	21983
ymp	21959
azo	21948
zab	21916
ływ	21882
ejm	21853
lęd	21852
ieu	21827
iaj	21823
ega	21790
rog	21780
ody	21775
ksi	21763
eda	21724
rga	21681
zgl	21643
zyj	21636
ąza	21630
edł	21582
nyz	21536
lec	21532
ąsi	21528
ątk	21493
bez	21442
cje	21434
chu	21434
nii	21420
cał	21413
dpo	21409
ntr	21402
got	21399
wid	21398
int	21394
bec	21393
kty	21366
glę	21347
azd	21341
hpo	21338
yty	21318
pły	21299
rom	21298
iiw	21294
han	21280
mal	21276
tka	21227
ome	21181
lno	21140
mon	21031
wat	21028
kuw	21028
ete	21018
tel	21008
wra	20986
rwa	20902
mod	20887
dod	20880
łpr	20806
kla	20777
met	20773
nty	20770
ask	20725
alo	20699
ofi	20646
mic	20629
nał	20600
emw	20591
asy	20544
jpo	20521
wne	20516
ezw	20509
lip	20504
oja	20480
ałp	20472
osa	20471
ymo	20455
jaw	20453
wla	20432
akr	20404
iny	20396
łna	20382
gdy	20375
jan	20371
ywy	20362
wny	20327
poj	20279
ain	20260
rmi	20246
zro	20237
łys	20235
rty	20215
iąg	20186
tyt	20155
lep	20154
mas	20147
ebi	20104
osł	20093
rup	20077
ber	20071
tys	20060
iii	20048
kul	20025
rci	20012
awe	20002
ugi	20000
ute	19995
kaw	19983
daj	19927
ypa	19910
run	19884
kro	19853
aut	19841
sło	19839
nez	19837
pił	19789
nów	19787
ówz	19782
oru	19759
rto	19741
dot	19741
bow	19735
iak	19733
iod	19717
kin	19708
ejk	19704
lki	19630
stp	19618
goo	19578
onk	19525
onu	19524
wed	19517
azy	19459
aod	19441
yły	19413
głó	19404
ojn	19399
nku	19380
