sht	430838
ësh	266154
htë	237067
për	235888
një	198653
dhe	193690
nuk	193296
ish	138207
esh	129638
etë	125323
kët	124996
und	123671
uar	115694
end	112980
arë	110924
ndo	108657
mun	99620
unë	99056
shk	97371
het	95527
mir	94456
irë	92820
ash	91933
jet	90769
far	89610
shi	89440
gji	87625
atë	87220
shu	85961
kur	85310
emi	85106
eri	81061
hte	78612
men	78139
uhe	73561
nde	72451
hum	71985
çfa	71734
nga	71545
rit	71375
duh	71111
jit	69315
oni	69175
jen	67997
ani	67604
ith	66892
erë	64826
tje	64606
rre	62461
kam	62190
ush	62106
par	61901
por	61255
tër	60054
nje	60012
vet	59906
gje	57764
umë	57406
osh	56997
kjo	56314
anë	55860
ëtë	54543
hko	54104
ënd	54027
eni	52858
tet	51894
ndi	51617
arr	51509
shë	51452
reg	51150
jmë	50890
ull	50885
the	50799
uaj	50056
jer	49848
hem	49323
ëtu	49262
jam	49012
gjë	48256
min	47752
der	47205
she	47104
ime	46005
tan	45831
hur	45396
her	45283
ohe	45273
don	45134
dua	45111
ara	44878
mos	44534
imi	44387
jes	44313
kon	44297
tën	44165
duk	43898
mar	43543
koj	43483
tur	43377
rin	43139
tim	42805
shp	42114
pas	41084
ris	41059
ëri	40961
per	40747
uke	40171
dre	40006
tua	39252
edh	38929
sho	38914
ojm	38449
nës	38422
bëj	38283
ajo	38108
ëse	37822
ndë	37472
pre	37351
thë	37258
nda	37029
ete	36816
dit	36733
pse	36426
jan	36298
ale	35728
fal	35388
ton	35273
egu	35197
tëm	35191
tha	35123
rri	34997
sha	34978
ësi	34878
nte	34851
rrë	34784
ata	34640
zot	34542
res	34357
ket	34283
kus	34268
doj	33979
mua	33713
rte	33525
uri	33519
çka	33265
all	33246
iko	33213
gul	33048
ind	32962
mba	32866
ërt	32527
htu	32310
ejt	32269
mer	32267
iku	31768
otë	31654
shm	31629
pra	31563
llo	31520
ëhe	31503
rën	31354
ojë	31166
dje	31014
rua	30905
jnë	30901
rej	30838
tës	30523
jem	30419
tre	30285
roj	30221
dal	30172
kem	29990
qen	29918
hik	29826
apo	29565
err	29545
rat	29378
lem	29340
art	29323
lin	29259
vje	29155
bër	29037
lar	28791
rdh	28712
ill	28483
kës	28392
pun	28204
toj	28196
ion	28121
jal	27864
lli	27838
pri	27824
ati	27490
ent	27404
ren	27318
inë	27314
ter	27314
hje	27158
pro	27131
koh	26894
onë	26857
dhë	26826
hme	26809
des	26491
onj	26400
dër	26397
ite	26396
hën	26373
hej	26318
lla	26184
tar	26049
tem	26011
kis	25949
ali	25883
odh	25718
ist	25666
dës	25662
esi	25611
gur	25586
ndr	25582
ven	25435
rim	25333
ont	25244
hen	24994
tin	24982
are	24945
hua	24871
vër	24842
ënë	24842
ako	24650
