och	522914
för	439443
den	382796
nde	375913
and	374977
ade	367987
ter	361033
ing	351822
som	328297
ens	306824
ill	306354
att	297145
til	273780
det	268401
era	263437
are	262966
ska	259806
sta	247647
med	243016
var	241116
des	237531
der	235763
gen	231960
nin	222394
ren	218446
ans	206462
ett	203795
han	203790
lan	203121
ers	198851
eri	190025
ten	188117
rna	184982
lle	180230
ver	179661
rde	176329
nge	169590
ent	163823
ste	163785
lig	162702
ena	160315
und	159224
nsk	158519
isk	156971
ell	149478
lla	149170
rat	146671
ern	144835
men	144424
man	141939
ion	139227
tta	138583
ist	135966
nga	135393
rad	135226
ati	134768
ler	134460
ven	133539
all	129750
del	128736
ara	125817
har	125676
rin	124205
kan	123820
tor	123593
sam	122942
ran	122139
tal	121814
örs	121166
eno	120978
gar	120248
nte	119667
sto	116457
nst	115753
änd	114572
nda	114461
est	113760
upp	113035
när	112522
äre	110644
tte	108177
dan	107258
ast	107233
ner	106908
end	106777
tio	106751
tan	106459
ete	105928
roc	105386
str	105063
kom	104588
art	104248
sen	104216
nen	103684
rst	103659
ser	103158
ela	102672
frå	102015
sti	101431
ari	100923
ets	100825
sin	100509
one	99799
iga	99535
enf	98845
tad	97972
mer	97926
rån	97708
noc	97684
lar	97296
ret	96379
tar	96073
inn	95607
mma	95471
eni	95318
int	95053
nna	94676
nom	93554
ber	93338
ock	92001
omm	91945
nat	91653
nav	91283
ger	91224
ång	90487
ant	89515
fte	89119
dra	87859
rti	87819
ord	87677
pel	87246
rik	86421
mar	86415
rso	86400
ale	86281
ede	86228
nti	85526
spe	85020
nfö	84882
eda	84592
ars	83972
res	83804
ort	83285
ige	83191
tid	82872
tra	82630
els	82605
ann	82550
arn	82478
lin	82336
eta	81649
nar	81455
let	81047
tat	80912
ero	80806
kar	80710
ess	80592
tet	80274
ide	80193
lls	80005
öra	79563
erk	78730
enn	78562
len	78362
toc	77990
ndr	77910
sve	77482
kri	77230
ika	77155
ngs	76590
vid	76587
ras	76581
ris	76461
ons	76417
ien	76060
enm	75936
rig	74796
nan	74084
ram	74051
ert	73982
eti	73524
ana	73353
nne	72813
ame	72682
nso	72454
öre	71472
tis	71372
ene	70859
anv	70771
där	70764
enh	70450
enb	70251
rme	69773
rka	69615
min	69045
nha	68953
nds	68794
per	68522
eft	68248
amm	67884
kal	67882
ätt	67786
het	67285
nis	67003
igt	66245
tts	66089
lad	66076
lag	65873
ken	65873
fin	65787
tin	65737
nas	65689
oms	65375
for	65375
son	65158
bet	64919
pro	64787
åde	64723
sig	64432
nor	64084
lat	63898
kti	63887
enk	63872
rav	63773
kon	63712
tti	63629
sko	63494
tav	63404
ins	63320
ket	63217
gra	63075
tfö	62724
rar	62501
chs	62480
cke	62434
las	62008
rfö	61874
run	61833
ate	61782
nse	61545
nad	61256
vis	61140
erf	60999
eng	60923
itt	60885
mat	60687
nam	60214
vän	59984
nvä	59919
ats	59706
ere	59661
par	59475
age	59347
avs	59162
mot	58890
fra	58208
ärd	58180
ker	58159
lde	58137
lev	58073
arb	57710
ard	57584
ala	57265
rbe	57207
ark	57148
nva	57094
env	57008
ick	56798
dde	56638
äll	56597
aoc	56122
van	56119
ike	56085
erm	55935
tre	55745
oma	55643
ani	55559
ina	55519
sso	55386
rsi	55286
nme	55277
stä	55111
dar	55050
ung	54974
rma	54836
get	54763
ome	54672
enä	54609
äve	54313
mme	54310
kap	54296
öve	54115
esi	53883
dem	53711
eme	53661
rsk	53273
pla	53248
red	53177
äst	53116
ind	53071
ite	53064
akt	52825
ali	52820
erg	52736
nta	52568
tme	52551
ssa	52550
oli	52426
net	52185
lik	51877
soc	51481
skr	51221
nli	50715
bla	50656
kte	50570
vil	50504
def	50420
rie	50392
nal	50387
ral	50248
tär	49848
asi	49803
che	49361
met	49359
aro	49321
ava	49300
rha	49174
sat	49156
ble	49144
kla	49121
rit	49059
doc	49028
ntr	48957
nns	48918
sme	48904
dig	48829
ott	48802
vde	48785
tst	48451
tde	48140
örd	48053
tas	47934
ass	47840
kas	47786
etf	47741
enp	47411
eoc	47184
erd	47003
ida	46844
ele	46755
lit	46753
yck	46659
lse	46629
sfö	46474
enl	46455
tso	46419
avd	46258
ski	46233
iti	46162
bar	46079
tur	45794
cks	45677
cha	45436
gru	45312
mel	45155
tro	45078
raf	44994
llt	44978
tha	44902
hon	44879
ave	44858
ege	44672
ori	44647
ust	44637
amn	44621
erv	44450
tes	44410
rom	43914
org	43799
ane	43777
eto	43691
ino	43563
kor	43462
rta	43449
rva	43403
sla	43263
chd	43262
pen	43230
län	43208
sva	42771
sav	42586
vin	42504
bil	42413
arm	42387
ors	42366
kat	42285
äng	42128
led	42089
orm	41984
reg	41917
eso	41735
kad	41636
erh	41622
ano	41619
vär	41565
anf	41481
ank	41468
nsa	41355
lis	41211
nsi	41174
hel	41102
ära	40988
val	40987
spr	40810
lut	40761
eha	40743
ang	40643
sit	40610
amt	40561
ekt	40495
rer	40475
bes	39832
tri	39725
trä	39700
iva	39683
omf	39577
tem	39451
ikt	39438
ban	39356
gre	39288
rsa	39244
anl	38988
erl	38982
bli	38954
ive	38800
dag	38752
föd	38747
oll	38685
erb	38639
ödd	38621
rel	38586
tni	38567
aso	38558
tig	38441
ild	38440
stå	38388
rte	38235
had	37952
tag	37950
ndi	37888
iss	37835
omd	37778
jor	37750
tiv	37730
gan	37730
afö	37689
tom	37623
ärs	37620
etv	37520
tel	37391
isa	37340
ttf	37274
omi	37191
ine	37167
ono	37157
kun	37137
rup	37090
tva	37060
gav	37056
omb	36977
ont	36831
gel	36618
chf	36261
nka	36167
efö	36123
bor	36086
ull	35936
ppe	35930
arf	35910
ier	35900
rek	35760
tvi	35737
edi	35706
rän	35604
ita	35472
uta	35471
ain	35364
sse	35235
hen	35169
ygg	35157
tth	35122
eds	35082
enr	34915
tsa	34836
sst	34802
arl	34664
ona	34626
mun	34626
ref	34624
nvi	34607
rak	34538
fle	34510
cka	34464
sed	34451
fil	34451
ora	34449
dea	34430
san	34366
lli	34281
chh	34068
tör	33961
aka	33929
orn	33922
idi	33898
nsp	33887
dni	33804
chm	33797
mst	33778
tsk	33754
adi	33708
mbe	33641
edd	33582
ärm	33556
byg	33535
kul	33407
rre	33394
ode	33336
enu	33333
riv	33244
rpå	33206
omh	33171
anh	33170
the	33161
rli	33114
deh	33033
sar	33025
öst	32982
nni	32971
esa	32950
ttd	32931
kni	32898
ask	32894
mti	32862
asa	32861
mde	32845
eva	32773
ärl	32763
ese	32760
bör	32710
rvi	32675
slu	32585
ttr	32574
uni	32506
dei	32495
lld	32268
eck	32248
vet	32187
sde	32177
dsk	32172
npå	32159
ase	32106
omr	31953
tse	31950
ske	31938
dat	31924
avi	31819
eko	31813
stö	31806
chb	31747
eli	31712
sis	31676
rja	31587
mil	31569
ivi	31554
dav	31554
tik	31452
tli	31383
rut	31361
rid	31341
ded	31295
gas	31268
ata	31263
jan	31182
ttn	31063
esp	30975
ndo	30947
etä	30942
nbe	30938
pri	30906
kän	30888
ini	30855
nko	30848
rfr	30780
sku	30772
fic	30755
rko	30731
rse	30664
mär	30653
chi	30624
täl	30603
ria	30562
kså	30534
äns	30491
hol	30441
erp	30377
aga	30229
omk	30169
deb	30122
cht	30095
nma	30053
skt	30031
någ	30019
igh	29990
rge	29972
aär	29940
das	29932
gån	29902
ise	29860
mus	29764
mån	29724
örj	29721
rev	29648
dis	29629
nel	29591
pre	29565
nfr	29544
alt	29492
tpå	29463
lda	29426
råd	29398
gge	29377
esk	29358
kna	29289
ein	29283
två	29202
her	29058
nes	28990
tru	28969
ama	28894
mfö	28880
err	28850
abe	28794
omt	28701
lsk	28683
ami	28647
ema	28622
lke	28576
pol	28570
yrk	28563
fly	28558
rot	28512
rke	28511
inf	28506
ilk	28504
män	28425
lst	28414
jäl	28406
sät	28393
här	28376
nss	28310
dst	28273
går	28235
slä	28217
set	28180
rol	28169
dad	28115
ato	28112
väg	28107
ton	28107
lme	28076
kol	28031
ron	28021
ift	27935
nsv	27903
arr	27824
ärn	27774
erä	27702
änn	27687
ämn	27679
sik	27643
död	27636
nsm	27607
cen	27595
aha	27551
eth	27519
aml	27472
iet	27442
ads	27439
goc	27435
sid	27421
etm	27418
eav	27351
pås	27331
ilm	27302
fta	27260
mmu	27241
ssi	27223
ako	27211
ttb	27012
les	26960
eru	26872
ola	26829
anm	26811
usi	26788
mpe	26787
dom	26752
hål	26708
ngr	26706
kam	26703
ada	26646
ärk	26644
stu	26601
elt	26584
dep	26523
apa	26492
hde	26458
nsl	26450
kli	26446
anb	26427
dre	26349
omp	26281
dri	26275
arv	26269
ape	26228
loc	26203
gna	26129
anu	26108
ian	26065
chk	26055
etr	26015
ost	26003
liv	26000
olo	25916
mal	25911
sal	25846
ghe	25834
ytt	25802
avt	25793
rop	25744
hög	25735
kra	25709
dso	25669
nut	25630
tsi	25613
åte	25608
nie	25597
mis	25595
opp	25577
din	25570
emi	25543
mne	25507
bru	25440
örb	25421
vat	25406
kil	25376
ilj	25372
rät	25343
örf	25331
gat	25313
eat	25306
far	25287
ngi	25270
etb	25240
emp	25210
tbe	25174
rep	25153
sio	25085
aav	25078
åll	25065
ots	24984
mli	24980
ysk	24976
ttm	24919
een	24917
tea	24883
rem	24746
rea	24671
nbl	24669
evi	24654
ärf	24637
fär	24545
ngo	24523
rga	24499
aan	24374
bri	24342
afi	24331
dfö	24327
pan	24285
eve	24272
deo	24266
rda	24259
nto	24225
gst	24183
ore	24135
läg	24129
olm	24103
emo	24083
vit	24057
arh	24042
emb	24000
sha	23995
oni	23978
rsp	23940
ågo	23935
nhe	23913
ial	23860
åen	23844
hus	23822
kaf	23663
ili	23635
lär	23626
fri	23620
oft	23537
lav	23521
tun	23458
dee	23444
bel	23417
gör	23402
lti	23397
ute	23382
ärh	23377
åna	23375
cer	23320
fat	23312
kyr	23268
ngl	23238
mas	23229
bro	23142
kin	23029
igg	23022
gde	23021
kta	23011
tto	22997
rne	22966
rts	22946
llf	22906
tam	22885
uts	22871
omv	22866
chv	22843
åre	22835
rär	22825
jär	22745
log	22732
gjo	22711
tut	22707
orr	22647
ack	22642
lem	22566
nfi	22530
bas	22529
äck	22502
rag	22473
ård	22464
spå	22423
bol	22403
mes	22344
por	22337
iks	22265
alb	22205
tfr	22176
afr	22149
alm	22147
ids	22145
nai	22125
atu	22062
nit	22054
als	22026
llv	22025
rod	21994
dek	21980
asp	21964
inv	21849
tsp	21843
ckh	21824
ume	21767
sma	21752
pte	21752
llm	21744
ttv	21741
kva	21720
eln	21714
anä	21680
rfa	21675
pet	21636
väs	21599
aen	21599
ham	21547
sch	21524
olk	21499
mor	21490
hal	21457
kto	21418
gam	21392
äri	21379
gis	21367
isi	21346
rld	21324
ror	21318
egr	21263
tit	21178
rla	21172
dev	21123
pps	21105
äge	21074
tek	21057
tog	21045
ure	20923
mrå	20874
rdi	20850
gti	20823
use	20806
ruk	20803
ånd	20802
lni	20783
dli	20778
ald	20702
tko	20700
arp	20674
tve	20657
lsa	20651
urs	20648
ttt	20602
påa	20556
tak	20543
ndl	20540
kel	20530
ond	20518
vik	20516
hha	20476
rum	20463
lek	20457
usa	20421
ogr	20372
myc	20308
chl	20299
lln	20298
tys	20293
